,attitude,tweets
39310,positive,Happy Star Wars Day from your friends at The Mongcast! May the force be with you.  https://t.co/X7c3fdHXYg
39311,positive,"""TONIGHT (FRIDAY!) AT UPTOWN BILL'S COFFEE HOUSE 7 pm. Victorian Christmas Concert with Curtis and Loretta"
39315,positive,Ok that's funny! What would DEMs say? And you can't use Kim Kardashian in the survey https://t.co/uUbntpocWR
39316,positive,actually today was very usefull ! i love friday !rest day in irAN
39327,positive,"""Can't wait to see Mr Partridge back on the TV again tonight"
39328,positive,"""For once in her life"
39329,positive,"""Friday: Star Wars Day!!! Sandwich of the Day: Ham Solo w Melted Brie"
39331,positive,Fun Friday Mashup ---&gt; Nelly's Hot In Here mashed with Bee Gees' Stayin Alive: https://t.co/XEgfZoOz1Z
39332,positive,Why am I just now finding oht about Black Friday J. Cole and Kendrick Lamar
39333,positive,@EnragedCinema I think I may be the only thing that likes twilight garrison more than you.
39342,positive,Star Wars Day at the RMA!  May the Force Be With You!!! https://t.co/HoNU3NWJY7
39343,positive,"""Not a fan of Chris Evans"
39344,positive,@counterfeitrock just bought tickets for Milan! can't wait to see you in April! love you so much xoxoxoxo
39349,positive,@nintendomad888 @MaireadRalph i'm working to make masked lumen and in March i'll go to cartoomics in milan with a big italian group for bayo
39350,positive,It's the holidays and I'm going to Milan tomorrow so cheers guys https://t.co/vY94eNvALi
39353,positive,Backstage Interview with The Vamps!  Planet's 5th Birthday Bash in Las Vegas was unforgettable! Following a... https://t.co/oaIlbyL0q2
39354,positive,"""I haven't seen Alan Partridge on TFI Friday yet"
39357,positive,Can't wait to see Amy Schumer with @_stephaniefrey_ tomorrow!
39358,positive,"""Man"
39360,positive,Everyday at twilight When the sun turns red in the sky I think of you on that shoreline Brushing the hair from your eyes
39361,positive,Cate Blanchett rocked these stunning gold statement drop earrings at the 5th AACTA Awards! redcarpet https://t.co/kgTinhuvU3
39364,positive,"""Obama signed a law TODAY making gifts of up to $100"
39366,positive,@frostygary hehe due to your answers I think we may be the same person lol #MTVStarOf2015 Lady Gaga
39367,positive,Kendrick at the end of black Friday crack me up every time
39369,positive,@RideTheNetwork @rideox4    chris evans alternative radio show https://t.co/AmY5BgCrU7   12pm tomorrow give it  ago!!!! its so good!
39373,positive,On Saturday Night Live set today with Amy Schumer! https://t.co/TukAF6unNx
39374,positive,Kind of equally excited at staying in watching The Soup finale tonight as I am for going out to see Amy Schumer tomorrow. Well...kind of
39375,positive,"""I may not be a lot of things"
39378,positive,Tomorrow is the big Dark Souls race between myself and @PewGeminiLive   Starting sometime between 9-10AM EST  Be there!
39379,positive,"""Today is Star Wars day"
39387,positive,I'm so glad we've gotten to a point where all the Twilight movies are on TV on a given Friday night. #ashamed
39389,positive,"""Watching """"Trainwreck"""" for the 2nd time with my girls. Hilarious!!! Love Amy Schumer! #Trainwreck #JohnCena #AmySchumer"""
39390,positive,Black Friday by Kendrick is probably the best song I've ever heard
39392,positive,"""Well"
39395,positive,Dark Souls kicked my ASS tonight. Called it an early night. Sent the #Kreygasm raid over to  https://t.co/gsmajX0pc9 See ya Tomorrow &lt;3 !!!
39397,positive,"""Kim Kardashian Is A Big Star Wars Nerd?: Even Kim Kardashian is getting into the Star Wars spirit. On Friday"
39408,positive,"""I thought Star Wars day was May 4th"
39410,positive,Utterly fascinating. Never before seen photos of 1953 coup in Iran by an employee of US embassy at the time. https://t.co/nKmCKfJHgc
39419,positive,@debraruh happy birthday Deb! May the year ahead bless you with health and happiness for you and your family. Hope Milan is sensational! Xxx
39420,positive,"""May 04th today may not be"
39422,positive,"""OMG. I don't know why I'm just hearing """"Black Friday"""" but J.Cole murked Kendrick big time."""
39426,positive,"""@PeterMcNamara_ both of them managed in the modern game also? He will win trophies in his 1st 3 years"
39431,positive,"""@milansteskal Perfect timing on this"
39432,positive,The Vamps will be bringing their debut concert to Singapore on Jan 26! Grab your tickets now if you haven't already! https://t.co/RsLlELuDo6
39433,positive,I like the look of those Dark Souls 3 PC specs. My machine may actually run it!
39434,positive,@MTVMusicUK is about to announce 1st place for #MTVStars. Fingers crossed for Lady Gaga! https://t.co/SzqL4Wk1dV
39435,positive,the boys won the voting for #MTVStars!! Lady Gaga came 2nd!! -S
39439,positive,It was a WILD night at @JazzStLouis Jazz at the Bistro. Amy Schumer &amp; cast dug our 2nd set &amp; had a comedy jam- Epic! https://t.co/CrE5Z3e2pr
39440,positive,"""Nightlife in Milan"
39442,positive,Need for Speed.. SNAP Tomorrow.. Rukna is BANNED..  Rahul Gandhi was the quickest today. You will be the one for... https://t.co/hH35UGcxWN
39443,positive,Join us tomorrow December 27th for our Star Wars Day. All 3 services. Grades 1-5. It's going to be epic!... https://t.co/DcJq2kISu4
39445,positive,VIENNA (Reuters) - Russia's envoy to the U.N. nuclear watchdog said on Monday he expected a historic nuclear deal between Iran and world
39448,positive,"""Happy Saturday! Blue Skies all around the Port! Gallery open today 10am to 5pm. #maineart #lovekpt #art  """"Curtis... https://t.co/FJOb7gFBhn"""
39453,positive,Selling Day for a Night Free Press Passes Ft. Kendrick Lamar. $40 for 2 day pass. Kendrick performs tomorrow at 9:30 p.m. Hmu if interested
39454,positive,"""By Tom Perry BEIRUT"
39457,positive,"""Got to get behind Curtis and the boys tomorrow"
39458,positive,i looked like a little jacob from twilight in the 5th grade
39459,positive,@EloquentSpur @LongLivTheGreat i just got back from a trip to saudi arabia. Enjoyed a great catholic mass there last sunday.
39460,positive,I may possibly be in love with Cate Blanchett now.
39465,positive,"""One of my all time favorite songs"
39467,positive,I want to go see Kendrick tomorrow
39470,positive,"""Long live the idols may they never be your rivals"
39472,positive,im so happy that danielle may be with louis bc then briana and her stupid family can stop acting like they entitlement and just hav the
39473,positive,"""@brianawrites happy Saturday"
39474,positive,"""Kendrick may be the best rapper ever tho lol. flow"
39478,positive,"""4:52 4th | Final media timeout of the game and St. Bonaventure leads Colgate"
39480,positive,Kendrick giving a free concert in watts the 22nd.... Who's going w me
39481,positive,Lil Cindy just played me Black Friday by Kendrick Lamar and J Cole. Mind Blowing. Wow!
39484,positive,TOMORROW I WILL FINALLY SEE KENDRICK LAMAR LIVE IN CONCERT!!!!!!!! i think im going to cry
39486,positive,We did or not I'm Happy that place and anyway congrats to all who support to Lady Gaga she got 2nd place #MTVStars Lady Gaga
39490,positive,Kendrick Lamar's Black Friday is prolly the nicest thing he's done recently
39497,positive,"""One of the 1st jokes from the hilarious Amy Schumer at @TWCArena: """"If anybody thought they were seeing 'Godspell' tonight"
39498,positive,I'm at the point of drunkenness where I lay in bed and eat plain tortillas while I watch twilight zone reruns. It's a wild fucking Saturday.
39500,positive,Thor thinks he's a lap dog and a face cleaner... Fun personality for sure :) He will be with us again tomorrow in... https://t.co/ZAyhg0n341
39504,positive,@RYOmoha @PrinceShaarawy ur fact: Milan hv a good squad and in the real world fact: Milan is 8th Placer hehe
39512,positive,Niceday in H-town to watch the sunset &amp; enjoy some music at @dayfornightfest Day 1 complete! We're coming for you tomorrow Kendrick Lamar!
39513,positive,"""@CaptainLauren48 For your 21st"
39516,positive,I'm just waiting for the day when it's announced that there will be a 5th twilight about Jacob and Renesme
39518,positive,@DeeIsaac_ love you too bro. Be safe on the road back home so we can see Kendrick tomorrow.
39519,positive,That wasn't even the day I wanted to go most and it was insane can't wait for Kendrick tomorrow
39529,positive,Really hoping Kendrick's next album has at least 10 tracks where he snaps like he did on his black friday freestyle
39531,positive,It's b/c of me. I saw Twilight the 1st weekend. Didn't see Star Wars :) https://t.co/o7Mu9YFVr2
39538,positive,@TrevorWilliamW_ @AscendMutAnd2K @JAlexander_NFL No he not Kendrick is the best rapper in mainstream right now Black Friday freestyles ex.
39542,positive,"""@Michael5SOS I saw you in Milan"
39543,positive,"""#SNL Well it's a good thing I stumbled upon Maya Rudolph"
39546,positive,@BenPorRov we have our Heart of All England evening on Saturday 30th April and the twilight fixture on Friday 16th September.
39552,positive,Kim Kardashian shares the moment she 1st connected to Kanye: And it's the best #throwback: https://t.co/yB5QPJz9AB https://t.co/Tp2rfm7p3N
39555,positive,"""Great result for the Romans res yesterday winning 6-2 @broctonfc res goals Roome 4"
39556,positive,eyaaocampo: Yasssssss going to The Vamps And 5SOS I CAN NOT WAIT #VideoMTV2015 5 Seconds of Summer  https://t.co/ma5ginwHDx
39563,positive,"""FACT: Lady Gaga was the highest voted female on  with over 120"
39564,positive,"""Kick off Sunday with #LILMIX! From Lady Gaga to The Strokes"
39565,positive,Today's the day! The sun is shining! It is Star Wars Day my friends!
39566,positive,"""Centre on Religion and Geopolitics"
39567,positive,Kendrick killed this beat better but I see you j.cole!  https://t.co/wYv4TBHqER
39568,positive,Fuck the discounts. Best thing that came out of Black Friday was Kendrick Lamar.
39571,positive,@TripleH Hi what ganne do to roman this monday you have to kick his ass like sting I'm your fans from saudi arabia https://t.co/Xfed9opAfy
39578,positive,From beating Sampdoria 2-0 to this. C'mon Milan get it together already. #FrosinoneMilan
39580,positive,Kendrick kills it in Black Friday.
39589,positive,"""Another away victory for Milan"
39591,positive,The two days I'm looking forward to the most: tomorrow aka Star Wars Day and Friday of course. :)
39594,positive,Galliani confirmed that Boateng will join Milan. He'll be included in the team from 4th of January. #Milan
39598,positive,Good news to all Milan fan. May be it time to return to continental football #ucl https://t.co/ealGIFSw8S
39599,positive,"""Played Football"
39602,positive,Star Wars Day!  May the force be with you. @ Studio Movie Grill https://t.co/Fogdgp4aEy
39609,positive,Visiting Mariyln tomorrow with Thor then lunch with nana and Thor! :)
39610,positive,Everyone should have Kendrick's album 1st or 2nd he killed that shit
39611,positive,"""Inter still top after loss"
39612,positive,melinda may can lift the mjolnir and use it and she'll just say she's doing her job. *at some point Thor lifted her. yep he's dreamy*
39617,positive,I still can't wrap my head around Kendrick and j cole's Black Friday it's too godly
39622,positive,I may or may not have created an army of mini Phil Coulsons who are infatuated with Chris Evans and hate Hydra. Merry Christmas @clarkgregg
39625,positive,"""https://t.co/bq9X0jmBqb LIST: Kendrick Lamar"
39626,positive,Earl tomorrow then Kendrick the day after!!!!!' CANT HANDLE
39638,positive,"""I was so said when I heard this "
39641,positive,Great weekend wrap up with Milan win yesterday #ForzaMilan ..Great 2nd Half display! https://t.co/lWS8k71mVg
39643,positive,"""Sibling-wed Game with Scott and Chris Evans"
39644,positive,Kim Kardashian launches Kimojis including image of her bum: It may just be the ideal last-minute... https://t.co/tIvoOk84DQ Daily Mail UK
39649,positive,"""Gonna stream Umineko again on Tuesday or Wednesday. Will probably hit the second twilight at least"
39650,positive,"""TBH I like Kim Kardashian. She may not be the /best/"
39651,positive,If you haven't heard black Friday by jcole and Kendrick. Please allow your ears to have orgasms.
39657,positive,3rd time seeing Kendrick and he never fails to disappoint
39658,positive,"""This Wednesday 23rd December special Twilight Market at 4.00pm until 6.30pm"
39661,positive,"""I have always said Kim Kardashian is a very smart businesswoman. You may dislike her for whatever reason"
39662,positive,""". @vouch360 Thank you for the mention"
39665,positive,My last market for the year! Looking forward to the Richmond Good Food Twilight Market this Wednesday night... https://t.co/Z7IYaUGaNK
39666,positive,"""Buy and watch Just dance on @Youtube &amp; stream it on @Spotify "
39668,positive,"""Iran ranks 1st in futsal held in China: Tehran"
39680,positive,"""Kim Kardashian may be trashy"
39681,positive,Walking through Glasgow in the pissing rain then George Harrison's dulcet tones appear on my earphones with 'Here Comes The Sun'. Nice.
39683,positive,Someday I'm going to compose a book of the comments we receive on our Monday morning Browns posts. It'd still be better prose than Twilight.
39691,positive,Live ass Kendrick concert with my boy Harper lastnight live ass Rockets game with my boy Woodley Saturday NS won my weekend was great
39692,positive,"""C'mon"
39693,positive,"""Kim Kardashian Now Has Her Own Emojis: Taylor Swift may be the most followed person on Instagram"
39699,positive,@giulio_michelon i'll probably be in Milan the first week of May ;) looking forward to see you sooner or later.
39701,positive,@JustinOStudios bruh Kendrick got my head spinning in Black Friday with all his bars
39703,positive,Lady Gaga is releasing the artRAVE stage this week and then the new music video next Saturday. Let the ARTPOP era finally begin.
39704,positive,"""Man Bill Burr April 2nd"
39706,positive,Star Wars Day is Tomorrow!The Doors open to the Quaker Theater at 10:30am! The movie starts at 11:00am- The cost is $10 for the whole day!
39707,positive,@HeffronDrive Italy miss you :) x come back as soon as March to Milan! We are waiting only you and @dbeltwrites
39708,positive,"""@Ollisbear Time for the sun to set at 4pm"
39715,positive,J Cole said Kendrick Lamar was BETTER than himself and that he may be the closest thing to pac that hip hop will ever see!!
39717,positive,Man Crush Monday (For my lady tweeps as they asked for it!) - Chris Evans @chrisevans https://t.co/jsqvf1PuSj
39720,positive,"""Just posted my video from my trip to Milan for the MTV EMAs back in October. It's pretty cool. I mean"
39730,positive,"""It's Star Wars Day at the @UGA_WBB game on Wednesday! Win movie tickets"
39746,positive,#NowPlaying Kendrick Lamar - Black Friday  It's the best av heard from #Lamar
39755,positive,Kendrick is gonna be #1 on every year end list.. So vote for the man @yomilo and get the 1st round upset https://t.co/ybphzieskE
39759,positive,@zackwagner11 Thor is ready for the game tomorrow. https://t.co/ruSqOsmC83
39761,positive,"""@Peggynoonannyc Hi there and best from Milan"
39762,positive,YOU GUYS!!! @robertglasper's 2nd night recording in LA for 'covered' is when he recorded EIGHT songs with Kendrick Lamar.
39765,positive,"""On December 19th I came over to your house"
39767,positive,"""So Drake's """"If You're Reading..."""" is the 3rd best album of the year"
39769,positive,George Harrison - Here comes the Sun   https://t.co/UkknayNOmH  Happy Winter Solstice for all those in the Northern Hemisphere obvs!
39770,positive,Tomorrow belongs to those who can hear it coming. David Bowie   The internet/media has the power to make the... https://t.co/u7G8UceHdg
39771,positive,@ELLEmagazine  go kim go kim go merry christmas kim kardashian may your god be with you with love peace happiness
39777,positive,Kim Kardashian's 'Kimoji' app broke the App Store: Kim launched Kimoji's Monday -- Kim-themed emojis -- and the response was crazy.
39783,positive,After Wednesday's twilight market check out the lovely local lights like these in Gladesville Drive. Invite friends! https://t.co/9CLupgcNst
39787,positive,#NP Black Friday by Kendrick Lamar  Is this the Kendrick you wanted @WyzeeQue?   #SoundCloud https://t.co/eqP6wJ6SUb
39788,positive,Tomorrow I'll be in my room watching Lady Gaga videos while the rest of the society watches large men tackle each other and throw balls :)
39791,positive,Fab day of photography in Oxfordshire today. Planning the twilight shot for later. There again tomorrow
39792,positive,see you in milan! https://t.co/oENuA79bQr
39806,positive,"""She really likes those Twilight films"
39817,positive,Despite what some think of her Kim Kardashian shows she still has tons of power on Monday https://t.co/AdMP8lIfc8
39821,positive,"""@blvkizzler I don't know"
39823,positive,Could there be anything better to listen to today? George Harrison - Here comes the Sun. #WinterSolstice #music https://t.co/HaAS1uPw9R
39824,positive,@Nisem0no ooh yea zelda would be pretty fun. i just need to dig the disc out. i will most likely do twilight princess Wednesday.
39826,positive,"""On Saturday"
39828,positive,"""@NintendoAmerica First Triforce Heroes"
39833,positive,It's exciting to be in Israel when tomorrow there will be a general strike. I hope it helps workers in Israel! https://t.co/323dgfEOQE
39834,positive,"""@BrianaBanksxoxo Good evening Briana"
39842,positive,"""Pieces from the 1st Traci Lynn Fashion Jewelry  Show I went with Kalynn M. Kendrick "
39843,positive,@Rjbellaterra warm up ain't deep? Friday night lights ain't deep? Born sinner ain't deep? Come on cuz. Just say you like Kendrick more. Lol
39851,positive,Milan may go back for Porto midfielder Gianelli Imbula. they will try acquire him on loan with option to buy. [#TMW]
39852,positive,I really want what Thor had in that flask in the 2nd Avengers. #Drank
39854,positive,@atheistMILF I love Israel. Love the Jews. So I may make a terrible Nazi. :(   @FairserviceSean @thepond99 @AccusredCam12
39860,positive,So I stood up for Kim Kardashian today lol! Someone sd she's a gold digger &amp; I said she may be a lot of things but she makes her own money!
39863,positive,My art Paint it black by The Rolling stones and Here comes the sun by George Harrison https://t.co/d0XpZCTyka
39865,positive,Robert Pattinson was so beautiful in the 1st Twilight
39871,positive,1st country in the world to adopt multiculturalism. Here is the country that did it some 2500 years ago ... Iran https://t.co/GIL69Q34xY
39874,positive,Chris Evans is Neo-Edmonds.  Oh Chris please dazzle us with party tricks your production team googled on your reheated Friday shitfest
39878,positive,"""I enjoy Kendrick for rhymes and performance. That 2nd part makes the first hazy for many"
39884,positive,"""in them to do it.  Amy Schumer in EW"
39887,positive,briana gets her last gift tomorrow and she's probably gonna cry like a baby!!
39888,positive,I like Thorburn with Copp and Halischuk on the 4th line.  Really like Thor on the 4th line.
39892,positive,Kendrick Lamar with Big Sean - Alright (Live) @ 2nd Annual TDE Christmas Toy Drive/Concert: https://t.co/23dOpyI4pN via @YouTube
39893,positive,"""Well"
39895,positive,@adamlambert can't wait to see you in milan in june!! Love youuu xx
39896,positive,"""Lady Gaga is clearly delighted at the gift of a grey horse"
39898,positive,"""Not much love for the Infamous challenge run today"
39899,positive,"""S. Korea welcomes chance to diversify oil supply with US"
39902,positive,"""Turkmenistan is the 2nd biggest producer of NG in Central Asia. 3 chief destinations for its gas are China"
39903,positive,I remember when I was so obsessed with twilight during the summer before I went to 4th grade I watched it everyday and night
39908,positive,Kendrick and J Cole out here saving rap with their Black Friday freestyles....they killing it man..
39923,positive,The Vamps will be on the cover of the next @BTSmag issue! It's coming out on Jan 2nd! https://t.co/HAsDXCpzqP
39924,positive,"""Early Christmas Present"
39926,positive,Kendrick Lamar may be onto the next big thing. https://t.co/h7rv8XkcIa
39928,positive,All my FSSs are already wishing me happy holidays (even the ones from Israel!)... I sure am glad I won't have to work all alone tomorrow.
39931,positive,"""Tomorrow night"
39934,positive,@GaryDooton Since you said Bloodborne may be better than Dark Souls I've been having an almighty internal struggle. You...  might be right.
39937,positive,With Milan sitting in 6th -the highest they've been in almost three years - Shevchenko wants time for the coach. https://t.co/gio505Rzml
39938,positive,Israel - Ramel Bradley (ex Yesilgiresun) may agree terms with Hapoel Holon https://t.co/PLwvwD2aSX
39939,positive,@caroline_tg good to read results with no side effects showing-  see they are doing 3rd trial - any possibility to get Milan into it?
39943,positive,A long read but worth it. Great insight into power &amp; control of IRA in Newry. Chilling.  https://t.co/M1ujQHYE4I
39945,positive,"""Iran ranked in top five best #futsal teams in the world after Spain"
39946,positive,Inside Amy Schumer is scorching its merry way back onto @ComedyCentralUK in the new year. S3 begins on Jan 11 at 11pm. (S2 still on demand.)
39948,positive,"""Hey"
39955,positive,The last 1:15 is the best part of Black Friday by Kendrick Lamar
39959,positive,Saudi Arabia is the 14th largest country on Earth.
39960,positive,@footballitalia suddenly remember he is ex Milan player.. and also his 1st goal for Milan when he was just &lt;1 minutes on the field...
39969,positive,Can we just talk about how much Kendrick slaughtered that Black Friday track? Sheeeeeeeesh
39974,positive,Cool! A Tiny Milan Apartment with a Magical Disappearing Kitchen https://t.co/JXR0zxznna via @AptTherapy #Design #Decor #Organize Wednesday.
39975,positive,"""@JamesGunn Only my 3rd tweet ever &amp; it's to you. At 20:45 in GoTG"
39983,positive,Lady Gaga Is Living All Our Dreams With the Actual Pony She Got for Christmas: We may all joke that we want a ... https://t.co/dMQaQ4KK0I
39985,positive,"""Okay that's pretty cool of you"
39986,positive,I just want it to be tomorrow so I can open my Justin Bieber CD I know is waiting for me under the tree
39987,positive,Milan are leading the race to sign the talented midfielder. Milan plan to sign him in June and then send him to Genoa on loan. #TMW
39994,positive,They don't have a 1st Amendment in Israel. So it's perfectly legal! https://t.co/BxyMq9MbM1
39996,positive,Literally just sat in my car and listened to Justin bieber for 34 minutes  It was the best 34 minutes of my day
39998,positive,If you're at the mall and wanna sing Justin bieber songs with me come to pac sun
40000,positive,"""Litre a voddy on a Wednesday"
40006,positive,SLTrib's @TrevorPhibbs published this years 1st Class 5A State Ranking - Sons of Thor keep up the excellent work! https://t.co/KeJjF0Phym
40008,positive,TY @ARnews1936 for this good news! May Iran release our American prisoners very soon as well. #MerryChristmas to you https://t.co/OoGoShTPfC
40012,positive,pretty accomplished that i was the 16th comment on Justin Bieber's insta pic
40013,positive,"""Lady Gaga's housewives intro makes the trans proud """"they may say I'm a woman"
40014,positive,"""@bandasaul9544 @Adjustedwell @netanyahu @healthandcents @ChristieC733 Peace to you BiBi"
40021,positive,My submission for the Dark Souls story contest.  You all may as well quit now i got this in the bag.  https://t.co/spFrFwzwKG
40024,positive,Ever since the 4th grade all I've wanted for Christmas was Justin Bieber.
40030,positive,Kendrick Lamar's Black Friday is flame Only he can go that hard for 4 minutes damn
40031,positive,"""He is the God of Abraham"
40034,positive,"""I may congratulate you will not hear from town"
40036,positive,We'd love to see you in Israel SQL Saturday on April 4th. Learn from Brent Ozar and Rob Farley precons https://t.co/7q0YE7ZD3Y #sqlsaturday
40039,positive,I love Kendrick's 2nd album as much as anyone but it doesn't compare to Good Kid Mad City
40042,positive,"""P/ MINUTE? """"@Kops_M: So Kim Kardashian was banking $1million per minute from her emojis on Monday! Say what u want"
40043,positive,"""Not that I normally retweet Justin Bieber"
40044,positive,"""@pop_ruth didn't briana and Louis were """"together"""" around march? Well"
40045,positive,It's finally here: Star Wars Day in the Tracey household! I may be taking my excitement too far... https://t.co/QXNDhdktCr
40046,positive,#Birthday Happy Birthday to author Stephanie Meyer-writer of the Twilight series 42 December 24th https://t.co/nMZpSejAcA
40048,positive,Happy birthday Stephanie Meyer!! May you have a Merry Christmas by Twilight!
40049,positive,Lovely George Harrison story when he was shown first ever Beatles website. Via @Eamonn_Forde https://t.co/B4bQGcrXH5 https://t.co/lNwtbvhx7t
40051,positive,"""Cute &amp; good idea: show the real Israel"
40052,positive,"""Happy birthday to writer Stephenie Meyer (December 24"
40055,positive,@TerryGilliam Sat my daughter down and we watched 12 Monkeys. Changed her mind about what a really good movie is (NOT Twilight)
40056,positive,I told mom that when we go to Florida Saturday its gonna be 9 hours of Justin Bieber and Adele...she's just gonna have to deal with it
40057,positive,Pretty sure when me and the siblings exchange presents tomorrow there'll be 3 Justin Bieber Purpose albums in the gaff
40060,positive,then it goes into here comes the sun from my star george harrison
40061,positive,can I just wake up tomorrow and find Justin Bieber under my tree
40063,positive,"""I'm still not over Kendrick's """"Black Friday"""" freestyle. Lyrically up there with the """"Control"""" verse. I said it."""
40065,positive,"""As jealous as I am"
40069,positive,@SummerMerin @Ajitkumar_Kanan it's a huge concern..May God bless and protect Rahul Gandhi.  Please be safe &amp; get more security @OfficeOfRG
40071,positive,and on the 7th day God blessed us with Justin Bieber  https://t.co/1MmyjzwKqL
40074,positive,"""Blanchett brilliant in 'Carol': (1 of ) The Weinstein Co. Cate Blanchett as Carol Aird"
40075,positive,Been blasting Justin bieber all day to hint to my mother she still has time to go online and buy me tickets to unwrap tomorrow morning...
40076,positive,If I just got a justin Bieber cd tomorrow id be happy.
40081,positive,@awkwardpuppets  dear lord please make my dreams come true and get a Justin Bieber follow I've been a belieber since 1st grade now I'm in 7
40082,positive,I hope that tomorrow I will wake up with justin bieber in my stocking
40083,positive,man tomorrow if my parents surprise me with justin bieber tickets I'll have a heart attack
40084,positive,"""#MerryChristmas #IranResistance May Christ free Iran from the chains of oppression"
40085,positive,Dropped Joel at JFK for Birthright trip to Israel. Tomorrow the rest of us off to Florida to see family and friends.  Merry XMAS!
40086,positive,Have all Merry Christmas with your love ones !!! Good Health and protection. May God Bless USA and Israel. https://t.co/EOs7LoeC3A
40094,positive,it would be a christmas miracle if I woke up tomorrow and there were justin bieber tickets under the tree
40097,positive,mistletoe by justin bieber is my jam all year round i don't care if it's july imma have that song blasting by the pool
40098,positive,"""@Santa I want Justin Bieber tickets"
40099,positive,if i woke up to Justin Bieber backstage passes tomorrow I'd make sure my mom got a million dollar mansion after I marry him.
40102,positive,"""Watching The Pogues's """"Fairytale of NY"""" for the 9th time today and is it just me or does Kirsty MacColl look kinda like Amy Schumer?"""
40103,positive,well I'm going to see Justin Bieber in March!!!! Merry Xmas to me.
40106,positive,Enjoying a relaxing day today in Milan. We start our shows at Blue Note Jazz Club tomorrow. #Gospel #Concert... https://t.co/UEFqtKZPfB
40108,positive,it may be 2:30 am &amp; i may be eating christmas cookies.. but im still jamming to justin bieber's new album. problem?
40112,positive,"""congrats on your face #LumaGrothe! #offduty in Milan. | See more about Milan"
40113,positive,Hawes &amp; Curtis wishes you Season's Greetings. Spend time with your loved ones and we'll see you all tomorrow! https://t.co/AVIA8UDY6F
40116,positive,"""@macrocredit @Reagoikanya turns into Cupid in February"
40117,positive,Soooo who's down to go to the justin bieber concert with me in March??
40118,positive,"""@Jerusalem_Post @CircusMaximus14 Yahweh willing"
40122,positive,gonna continue to watch twilight tomorrow i've been leaving the rest of the movie that i didn't watch yet for a long time lmao
40124,positive,I liked a @YouTube video https://t.co/yx6RizW2pJ George Harrison - Here comes the sun (Subtitulada)
40125,positive,"""Peace on earth"
40130,positive,@ElianaBenador That's very kind... Thank you &amp; Merry Christmas! May the Light of G-d always shine upon &amp; protect Israel!
40132,positive,Thank you @netanyahu @IsraeliPM. May God bless and keep our friends and allies in Israel.  https://t.co/nwdr7MKwrS
40135,positive,@Israel365pix thank you mr B.Netanyahu may the Lord bless you  and family and Israel and God land's of chosen
40136,positive,I will be seeing Justin Bieber on my 18th birthday and I literally cannot explain the joy in my heart right now
40140,positive,"""So grateful"
40143,positive,but on the bright side IM GOING TO JUSTIN BIEBER IN MARCH
40144,positive,jeonghan looks like one of the characters in twilight wearing that hoodie tho https://t.co/gPaRO5IajL
40146,positive,I'm seeing Justin Bieber July 13th with my best friend @julia_359 @justinbieber
40147,positive,I wanna play Dark Souls again for the 1st time
40149,positive,I'm seriously going to my 3rd but best Justin Bieber concert I want to cry thinking about it
40152,positive,This is the 3rd Christmas I've gotten Justin Bieber tickets hahaha blessed
40153,positive,@ILNewsFlash Thank you Israel! We love you &amp; God loves you. May He bless you &amp; keep you!
40155,positive,I got Justin Bieber tickets for Christmas I'm crying I have wanted this since the 7th grade
40157,positive,My sister got Justin Bieber tickets &amp; I'm so happy for her bc I know how exciting it is to see your favorite artist live for the 1st time
40158,positive,"""See you again in April"
40159,positive,yesterday I bonded with a 9th grader over our mutual love for justin bieber and disdain for non-iphones
40161,positive,Okay Justin Bieber may not be the best role model out there but damn he got some good songs out now
40166,positive,Shabath Shalom to all of you :) May the God of Israel bless you all :)
40168,positive,Trivial but true - the 1st really successful communist communities were in Israel - kibbutz . Important part of the Left Zionist movement!
40169,positive,Great day today with family. Now to get ready for Milan on Monday #Christmas #MerryChristmas #blessed #grateful
40171,positive,So happy because I'm going to see Justin Bieber March 23rd !!!!!
40172,positive,Here comes the sun du du du du Here comes the sun and I say... It's alright!  - by George Harrison
40173,positive,"""@XS_11official see you tomorrow at the Britannia! Been almost a year since we got to meet you in Milan"
40175,positive,"""Meet J'ason B'ergkamp?   1st reply to T'rumps tweets is  always"
40182,positive,Signing off for Shabbat Shalom. May the Jewish state of Israel continue to be a loving &amp; peaceful place for all. https://t.co/fq00P8H14z
40183,positive,"""Thanks to my mother in law"
40188,positive,"""@Seis_GoDeep Kendrick we love you  in Arkansas.Hope you success where ever you life may go.I hope it leads back toAr. But if not"
40189,positive,Cole and Kendrick did with the Black Friday track. https://t.co/2H54KHQyJT
40190,positive,"""Thank you for the Christmas wishes! May YAHWEH bless and keep you"
40194,positive,May 11th 2016 is the day I see the love of my life Justin bieber
40196,positive,Our first Christmas together AND we got to celebrate our 1 year (the 24th). Merry Christmas from Curtis and I! https://t.co/Gp24tsYHfA
40198,positive,Christmas may be over but it's never too late to buy ya girl some Justin Bieber tickets:)))
40199,positive,David Bowie makes me want to draw and draw and get lost in a whirlwind of sound and color :D #Saturday #BoxingDay #drawing #DavidBowie
40204,positive,I hope someone blesses me with Justin Bieber tickets before March
40205,positive,@Autumnjoiee ion know cause I feel like Thor would too but then again Thor is really humble so you may be right
40206,positive,"""Justin Bieber my dyslexic king"
40207,positive,@IsraeliPM @LeaSavoy @susansshrimp  May God continue the bless and protect Netanyahu and all of Israel.
40208,positive,I'm gonna make eye contact with Justin Bieber in June
